#Country=France
#Region=WESTERN EUROPE
#Population=60876136
#Area (sq. mi.)=547030
#Pop. Density (per sq. mi.)=111,3
#Coastline (coast/area ratio)=0,63
#Net migration=0,66
#Infant mortality (per 1000 births)=4,26
#GDP ($ per capita)=27600
#Literacy (%)=99,0
#Phones (per 1000)=586,4
#Arable (%)=33,53
#Crops (%)=2,07
#Other (%)=64,4
#Climate=4
#Birthrate=11,99
#Deathrate=9,14
#Agriculture=0,022
#Industry=0,214
#Service=0,764
indicator	year	value
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	1960	22.747321991178303
Merchandise exports to developing economies in South Asia (% of total merchandise exports)	1960	1.01405313521197
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	1960	7.77391890505708
Merchandise exports to developing economies outside region (% of total merchandise exports)	1960	36.819507334300496
Merchandise exports to economies in the Arab World (% of total merchandise exports)	1960	22.552424495537895
Merchandise exports to high-income economies (% of total merchandise exports)	1960	50.991339517299004
Merchandise imports (current US$)	1960	6282280000.0
Merchandise imports by the reporting economy (current US$)	1960	6154300000.0
Merchandise imports by the reporting economy, residual (% of total merchandise imports)	1960	9.94914125083275
Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	1960	1.4818907105601
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	1960	2.02135092536925
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	1960	16.3040475764912
Merchandise imports from developing economies in South Asia (% of total merchandise imports)	1960	0.900183611458655
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	1960	9.13345140795866
Merchandise imports from developing economies outside region (% of total merchandise imports)	1960	30.404757649123397
Merchandise imports from economies in the Arab World (% of total merchandise imports)	1960	19.8576604975383
Merchandise imports from high-income economies (% of total merchandise imports)	1960	59.6461011000439
Merchandise trade (% of GDP)	1960	20.9870717508358
Mobile cellular subscriptions	1960	0.0
Mobile cellular subscriptions (per 100 people)	1960	0.0
Mortality rate, adult, female (per 1,000 female adults)	1960	115.043
Mortality rate, adult, male (per 1,000 male adults)	1960	216.849
Mortality rate, infant (per 1,000 live births)	1960	23.7
Mortality rate, under-5 (per 1,000)	1960	28.5
Net current transfers from abroad (constant LCU)	1960	3554359819.42204
Net current transfers from abroad (current LCU)	1960	-790088256.0
Net current transfers from abroad (current US$)	1960	-1049742054.7568699
Net income from abroad (constant LCU)	1960	2379450747.97775
Net income from abroad (current LCU)	1960	400580608.0
Net income from abroad (current US$)	1960	532227010.51979405
Number of infant deaths	1960	20491.0
Number of under-five deaths	1960	24335.0
Official exchange rate (LCU per US$, period average)	1960	4.937060003937059
Population ages 65 and above (% of total)	1960	11.5879581383901
Population growth (annual %)	1960	1.2296100371265402
Population in largest city	1960	7410735.0
Population in the largest city (% of urban population)	1960	25.5819135513736
Population in urban agglomerations of more than 1 million	1960	10058209.0
Population in urban agglomerations of more than 1 million (% of total population)	1960	21.4853635230667
Population, ages 0-14 (% of total)	1960	26.265392793861103
Population, ages 15-64 (% of total)	1960	62.146649067748896
Population, female (% of total)	1960	51.361037798639
Population, total	1960	46814237.0
Rural population	1960	17845587.0
Rural population (% of total population)	1960	38.12
Rural population growth (annual %)	1960	-0.680158518697619
Survival to age 65, female (% of cohort)	1960	80.21282
Survival to age 65, male (% of cohort)	1960	65.21028
Terms of trade adjustment (constant LCU)	1960	2533091169.07294
Total reserves (includes gold, current US$)	1960	2300193999.7512
Total reserves minus gold (current US$)	1960	630909999.79809
Trade (% of GDP)	1960	26.965454954501098
Trademark applications, direct nonresident	1960	2630.0
Trademark applications, direct resident	1960	16874.0
Trademark applications, total	1960	19504.0
Urban population	1960	28968650.0
Urban population (% of total)	1960	61.88
Urban population growth (annual %)	1960	2.42450305343692
Adolescent fertility rate (births per 1,000 women ages 15-19)	1961	35.2468
Age dependency ratio (% of working-age population)	1961	61.407039928421895
Age dependency ratio, old (% of working-age population)	1961	18.8162673427574
Age dependency ratio, young (% of working-age population)	1961	42.5907725856645
Agricultural land (% of land area)	1961	63.0773276646103
Agricultural land (sq. km)	1961	345390.0
Agricultural machinery, tractors	1961	743400.0
Agricultural machinery, tractors per 100 sq. km of arable land	1961	379.169641946343
Agriculture, value added (annual % growth)	1961	-5.19900680859787
Agriculture, value added (constant 2005 US$)	1961	15357062505.9385
Agriculture, value added (constant LCU)	1961	12473673700.0
Agriculture, value added (current LCU)	1961	4634000000.0
Agriculture, value added (current US$)	1961	6156913034.464029
Alternative and nuclear energy (% of total energy use)	1961	4.124450709042271
Arable land (% of land area)	1961	35.8057293550001
Arable land (hectares per person)	1961	0.41323854771626894
Arable land (hectares)	1961	19606000.0
Arms exports (SIPRI trend indicator values)	1961	956000000.0
Arms imports (SIPRI trend indicator values)	1961	253000000.0
Birth rate, crude (per 1,000 people)	1961	18.7
Cereal production (metric tons)	1961	20802475.0
Cereal yield (kg per hectare)	1961	2275.907
CO2 emissions (kg per 2005 US$ of GDP)	1961	0.506568272499711
CO2 emissions (kt)	1961	281211.229
CO2 emissions (metric tons per capita)	1961	5.92713046381042
CO2 emissions from electricity and heat production, total (% of total fuel combustion)	1961	26.175990503042
CO2 emissions from gaseous fuel consumption (% of total)	1961	2.82055628724556
CO2 emissions from gaseous fuel consumption (kt)	1961	7931.721
CO2 emissions from liquid fuel consumption (% of total)	1961	29.7742772569014
CO2 emissions from liquid fuel consumption (kt)	1961	83728.611
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1961	34.9755156551417
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	1961	1.07582727407627
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	1961	23.9501409704704
CO2 emissions from solid fuel consumption (% of total)	1961	64.6758903073533
CO2 emissions from solid fuel consumption (kt)	1961	181875.866
CO2 emissions from transport (% of total fuel combustion)	1961	13.818815848048699
CO2 intensity (kg per kg of oil equivalent energy use)	1961	3.41092637170197
Combustible renewables and waste (% of total energy)	1961	0.0
Consumer price index (2010 = 100)	1961	10.6232036641986
Crop production index (2004-2006 = 100)	1961	63.92
Death rate, crude (per 1,000 people)	1961	11.3
DEC alternative conversion factor (LCU per US$)	1961	0.752649903297424
Electric power consumption (kWh per capita)	1961	1543.71133700333
Electric power transmission and distribution losses (% of output)	1961	8.512342897200941
Electricity production from coal sources (% of total)	1961	40.0342997346152
Electricity production from hydroelectric sources (% of total)	1961	48.4677782785038
Electricity production from natural gas sources (% of total)	1961	6.71223273746933
Electricity production from nuclear sources (% of total)	1961	0.339241900756096
Electricity production from oil sources (% of total)	1961	4.44644734865555
Electricity production from oil, gas and coal sources (% of total)	1961	51.1929798207401
Electricity production from renewable sources, excluding hydroelectric (% of total)	1961	0.0
Electricity production from renewable sources, excluding hydroelectric (kWh)	1961	0.0
Energy imports, net (% of energy use)	1961	46.520761747828104
Energy use (kg of oil equivalent per capita)	1961	1737.6893599884197
Exports as a capacity to import (constant LCU)	1961	35672394071.6776
Exports of goods and services (% of GDP)	1961	13.919186178957501
Exports of goods and services (annual % growth)	1961	5.11732025101557
Exports of goods and services (constant 2005 US$)	1961	38783442171.8953
Exports of goods and services (constant LCU)	1961	32940044437.0716
Exports of goods and services (current LCU)	1961	7160192000.0
Exports of goods and services (current US$)	1961	9513310197.25185
External balance on goods and services (% of GDP)	1961	1.58037592367918
External balance on goods and services (constant LCU)	1961	1625332724.0727
External balance on goods and services (current LCU)	1961	812963840.0
External balance on goods and services (current US$)	1961	1080135447.35519
Fertility rate, total (births per woman)	1961	2.87
Food production index (2004-2006 = 100)	1961	67.22
Fossil fuel energy consumption (% of total)	1961	95.861883084396
GDP (constant LCU)	1961	484485261451.93604
GDP (current LCU)	1961	51441168384.0
GDP at market prices (constant 2005 US$)	1961	555129968192.314
GDP at market prices (current US$)	1961	68346741504.4257
GDP deflator (base year varies by country)	1961	10.6176952070405
GDP growth (annual %)	1961	5.5062724371174205
GDP per capita (constant 2005 US$)	1961	11700.556046596499
GDP per capita (constant LCU)	1961	10211.5671647626
GDP per capita (current LCU)	1961	1084.2330774167199
GDP per capita (current US$)	1961	1440.55433032888
GDP per capita growth (annual %)	1961	4.1041535418277
General government final consumption expenditure (% of GDP)	1961	16.8638936643947
General government final consumption expenditure (annual % growth)	1961	4.79439075934064
General government final consumption expenditure (constant 2005 US$)	1961	130858620021.286
General government final consumption expenditure (constant LCU)	1961	114222054692.489
General government final consumption expenditure (current LCU)	1961	8674983936.0
General government final consumption expenditure (current US$)	1961	11525921810.3851
GNI (constant 2005 US$)	1961	559549853707.4971
GNI (constant LCU)	1961	488337301697.743
GNI (current LCU)	1961	51844800512.0
GNI (current US$)	1961	68883022883.3664
GNI growth (annual %)	1961	5.43628273421351
GNI per capita (constant 2005 US$)	1961	11793.7146241424
GNI per capita (constant LCU)	1961	10292.7571839874
GNI per capita (current LCU)	1961	1092.74049118732
GNI per capita growth (annual %)	1961	4.0350939626277995
Gross domestic income (constant 2005 US$)	1961	371720000000.0
Gross domestic income (constant LCU)	1961	487217611086.54205
Gross national expenditure (constant 2005 US$)	1961	553649899627.714
Gross national expenditure (constant LCU)	1961	483167389183.76294
Gross national expenditure (current LCU)	1961	50628204544.0
Gross national expenditure (current US$)	1961	67266606057.0705
Gross national expenditure deflator (base year varies by country)	1961	10.4783985172361
Imports of goods and services (% of GDP)	1961	12.338810255278402
Imports of goods and services (annual % growth)	1961	6.936500577770929
Imports of goods and services (constant 2005 US$)	1961	37303373607.2955
Imports of goods and services (constant LCU)	1961	31622172168.8984
Imports of goods and services (current LCU)	1961	6347228160.0
Imports of goods and services (current US$)	1961	8433174749.89666
Industry, value added (annual % growth)	1961	7.68564757981586
Industry, value added (constant 2005 US$)	1961	111631592165.97
Industry, value added (constant LCU)	1961	96404886700.0
Industry, value added (current LCU)	1961	15451000000.0
Industry, value added (current US$)	1961	20528800883.7945
Inflation, consumer prices (annual %)	1961	2.41456166407752
Inflation, GDP deflator (annual %)	1961	3.39707061865684
Land area (sq. km)	1961	547566.0
Land under cereal production (hectares)	1961	9140300.0
Lending interest rate (%)	1961	3.5
Life expectancy at birth, female (years)	1961	73.6
Life expectancy at birth, male (years)	1961	66.8
Life expectancy at birth, total (years)	1961	70.1170731707317
Livestock production index (2004-2006 = 100)	1961	69.12
Manufacturing, value added (annual % growth)	1961	5.91472078749089
Manufacturing, value added (constant 2005 US$)	1961	67076697043.2247
Manufacturing, value added (constant LCU)	1961	52649330200.0
Manufacturing, value added (current LCU)	1961	11362000000.0
Manufacturing, value added (current US$)	1961	15095996093.565
Merchandise exports (current US$)	1961	7224340000.0
Merchandise exports by the reporting economy (current US$)	1961	7174900000.0
Merchandise exports by the reporting economy, residual (% of total merchandise exports)	1961	12.8336283432522
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	1961	1.7561220365440602
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	1961	1.8592593624998301
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	1961	17.9222010062858
Merchandise exports to developing economies in South Asia (% of total merchandise exports)	1961	0.7791049352604219
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	1961	8.37921086008167
Merchandise exports to developing economies outside region (% of total merchandise exports)	1961	31.610196657793104
Merchandise exports to economies in the Arab World (% of total merchandise exports)	1961	18.0490320422584
Merchandise exports to high-income economies (% of total merchandise exports)	1961	55.55617499895471
Merchandise imports (current US$)	1961	6682520000.0
Merchandise imports by the reporting economy (current US$)	1961	6568700000.0
Merchandise imports by the reporting economy, residual (% of total merchandise imports)	1961	9.787324737010369
Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	1961	1.13873369159803
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	1961	1.75681641725151
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	1961	15.493172164964099
Merchandise imports from developing economies in South Asia (% of total merchandise imports)	1961	0.806856760089515
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	1961	9.055064167948
Merchandise imports from developing economies outside region (% of total merchandise imports)	1961	28.856546957541102
Merchandise imports from economies in the Arab World (% of total merchandise imports)	1961	18.871313958622
Merchandise imports from high-income economies (% of total merchandise imports)	1961	61.3561283054486
Merchandise trade (% of GDP)	1961	20.3475099088659
Mortality rate, adult, female (per 1,000 female adults)	1961	109.048
Mortality rate, adult, male (per 1,000 male adults)	1961	214.133
Mortality rate, infant (per 1,000 live births)	1961	22.4
Mortality rate, under-5 (per 1,000)	1961	27.0
Net current transfers from abroad (constant LCU)	1961	3463769327.8348
Net current transfers from abroad (current LCU)	1961	-899065920.0
Net current transfers from abroad (current US$)	1961	-1194534027.12352
Net income from abroad (constant LCU)	1961	2318805336.73124
Net income from abroad (current LCU)	1961	403632128.0
Net income from abroad (current US$)	1961	536281378.940797
Number of infant deaths	1961	20029.0
Number of under-five deaths	1961	23818.0
Official exchange rate (LCU per US$, period average)	1961	4.937060003937059
Permanent cropland (% of land area)	1961	3.2854486947692103
Population ages 65 and above (% of total)	1961	11.6576495538096
Population density (people per sq. km of land area)	1961	86.6466343783215
Population growth (annual %)	1961	1.33785311668319
Population in largest city	1961	7539888.0
Population in the largest city (% of urban population)	1961	25.3836360982886
Population in urban agglomerations of more than 1 million	1961	10255584.0
Population in urban agglomerations of more than 1 million (% of total population)	1961	21.615845343987605
Population, ages 0-14 (% of total)	1961	26.3871836169603
Population, ages 15-64 (% of total)	1961	61.9551668292301
Population, female (% of total)	1961	51.306385521508105
Population, total	1961	47444751.0
Real interest rate (%)	1961	0.0995476764741038
Rural population	1961	17741016.0
Rural population (% of total population)	1961	37.393
Rural population growth (annual %)	1961	-0.5877003825446551
Surface area (sq. km)	1961	549086.0
Survival to age 65, female (% of cohort)	1961	80.72389
Survival to age 65, male (% of cohort)	1961	65.56609
Terms of trade adjustment (constant LCU)	1961	2732349634.60597
Total reserves (includes gold, current US$)	1961	3374549999.5735397
Total reserves minus gold (current US$)	1961	1244459999.57354
Trade (% of GDP)	1961	26.257996434235896
Trademark applications, direct nonresident	1961	2726.0
Trademark applications, direct resident	1961	18042.0
Trademark applications, total	1961	20768.0
Urban population	1961	29703735.0
Urban population (% of total)	1961	62.607
Urban population growth (annual %)	1961	2.5058584713105
Adolescent fertility rate (births per 1,000 women ages 15-19)	1962	36.547
Age dependency ratio (% of working-age population)	1962	61.3222709433338
Age dependency ratio, old (% of working-age population)	1962	18.9403617520746
Age dependency ratio, young (% of working-age population)	1962	42.3819091912593
Agricultural land (% of land area)	1962	62.8965275418854
Agricultural land (sq. km)	1962	344400.0
Agricultural machinery, tractors	1962	804438.0
Agricultural machinery, tractors per 100 sq. km of arable land	1962	411.898617511521
Agricultural raw materials exports (% of merchandise exports)	1962	4.76689200370096
Agricultural raw materials imports (% of merchandise imports)	1962	13.2352393562855
Agriculture, value added (annual % growth)	1962	8.873016295111189
Agriculture, value added (constant 2005 US$)	1962	16719697164.5409
Agriculture, value added (constant LCU)	1962	13580464800.0
Agriculture, value added (current LCU)	1962	5624000000.0
Agriculture, value added (current US$)	1962	7472265624.908441
Alternative and nuclear energy (% of total energy use)	1962	3.63612349758973
Arable land (% of land area)	1962	35.6669333011911
Arable land (hectares per person)	1962	0.405863309601448
Arable land (hectares)	1962	19530000.0
Arms exports (SIPRI trend indicator values)	1962	989000000.0
Arms imports (SIPRI trend indicator values)	1962	129000000.0
Average precipitation in depth (mm per year)	1962	867.0
Birth rate, crude (per 1,000 people)	1962	18.6
Cereal production (metric tons)	1962	25305105.0
Cereal yield (kg per hectare)	1962	2689.709
CO2 emissions (kg per 2005 US$ of GDP)	1962	0.504427588302826
CO2 emissions (kt)	1962	298706.486
CO2 emissions (metric tons per capita)	1962	6.2075782389850795
CO2 emissions from electricity and heat production, total (% of total fuel combustion)	1962	26.440237818629104
CO2 emissions from gaseous fuel consumption (% of total)	1962	3.1218542070760398
CO2 emissions from gaseous fuel consumption (kt)	1962	9325.181
CO2 emissions from liquid fuel consumption (% of total)	1962	31.6371627096172
CO2 emissions from liquid fuel consumption (kt)	1962	94502.257
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1962	33.5918813640402
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	1962	1.1002528531401599
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	1962	26.0233718307934
CO2 emissions from solid fuel consumption (% of total)	1962	62.422352623437796
CO2 emissions from solid fuel consumption (kt)	1962	186459.616
CO2 emissions from transport (% of total fuel combustion)	1962	12.8442561333971
CO2 intensity (kg per kg of oil equivalent energy use)	1962	3.3504930036282
Combustible renewables and waste (% of total energy)	1962	0.0
Consumer price index (2010 = 100)	1962	11.1806296574631
Crop production index (2004-2006 = 100)	1962	81.74
Death rate, crude (per 1,000 people)	1962	11.2
DEC alternative conversion factor (LCU per US$)	1962	0.752649903297424
Electric power consumption (kWh per capita)	1962	1646.8324613091
Electric power transmission and distribution losses (% of output)	1962	8.28418661220369
Electricity production from coal sources (% of total)	1962	44.77706129380179
Electricity production from hydroelectric sources (% of total)	1962	41.605663538105
Electricity production from natural gas sources (% of total)	1962	6.90501870252656
Electricity production from nuclear sources (% of total)	1962	0.5427174885834269
Electricity production from oil sources (% of total)	1962	6.16953897698327
Electricity production from oil, gas and coal sources (% of total)	1962	57.8516189733116
Electricity production from renewable sources, excluding hydroelectric (% of total)	1962	0.0
Electricity production from renewable sources, excluding hydroelectric (kWh)	1962	0.0
Energy imports, net (% of energy use)	1962	49.888092935071896
Energy use (kg of oil equivalent per capita)	1962	1852.73577120232
Exports as a capacity to import (constant LCU)	1962	35739751456.9399
Exports of goods and services (% of GDP)	1962	12.8329879563643
Exports of goods and services (annual % growth)	1962	1.76708746197656
Exports of goods and services (constant 2005 US$)	1962	39468779515.8378
Exports of goods and services (constant LCU)	1962	33522123832.2886
Exports of goods and services (current LCU)	1962	7370955264.0
Exports of goods and services (current US$)	1962	9793338485.40631
External balance on goods and services (% of GDP)	1962	0.7161012724809991
External balance on goods and services (constant LCU)	1962	170018100.846859
External balance on goods and services (current LCU)	1962	411311104.0
External balance on goods and services (current US$)	1962	546483965.782777
Fertility rate, total (births per woman)	1962	2.89
Food exports (% of merchandise exports)	1962	14.463805376507
Food imports (% of merchandise imports)	1962	23.011633155807
Food production index (2004-2006 = 100)	1962	77.24
Fossil fuel energy consumption (% of total)	1962	96.432365508304
Fuel exports (% of merchandise exports)	1962	3.7761528652576297
Fuel imports (% of merchandise imports)	1962	15.4222764071033
GDP (constant LCU)	1962	516810964134.868
GDP (current LCU)	1962	57437560832.0
GDP at market prices (constant 2005 US$)	1962	592169209073.227
GDP at market prices (current US$)	1962	76313782251.6964
GDP deflator (base year varies by country)	1962	11.113843323380198
GDP growth (annual %)	1962	6.672174626335651
GDP per capita (constant 2005 US$)	1962	12306.1830536883
GDP per capita (constant LCU)	1962	10740.1233150073
GDP per capita (current LCU)	1962	1193.64047796774
GDP per capita (current US$)	1962	1585.91726742846
GDP per capita growth (annual %)	1962	5.176053212171451
General government final consumption expenditure (% of GDP)	1962	17.0363200983082
General government final consumption expenditure (annual % growth)	1962	4.72063082324728
General government final consumption expenditure (constant 2005 US$)	1962	137035972372.887
General government final consumption expenditure (constant LCU)	1962	119614056213.24901
General government final consumption expenditure (current LCU)	1962	9785246720.0
General government final consumption expenditure (current US$)	1962	13001060223.5249
GNI (constant 2005 US$)	1962	597533581510.223
GNI (constant LCU)	1962	521486932638.94104
GNI (current LCU)	1962	57953296384.0
GNI (current US$)	1962	76999008609.5828
GNI growth (annual %)	1962	6.78826516548096
GNI per capita (constant 2005 US$)	1962	12417.6629283024
GNI per capita (constant LCU)	1962	10837.2971016256
GNI per capita (current LCU)	1962	1204.3582525716301
GNI per capita growth (annual %)	1962	5.2905155334408
GNI per capita, Atlas method (current US$)	1962	1560.0
GNI, Atlas method (current US$)	1962	75160418254.0452
Gross domestic income (constant 2005 US$)	1962	395820000000.0
Gross domestic income (constant LCU)	1962	519028591759.519
Gross national expenditure (constant 2005 US$)	1962	592508506559.105
Gross national expenditure (constant LCU)	1962	517034256411.937
Gross national expenditure (current LCU)	1962	57026249728.0
Gross national expenditure (current US$)	1962	75767298285.9137
Gross national expenditure deflator (base year varies by country)	1962	11.0294915705866
Imports of goods and services (% of GDP)	1962	12.1168866838833
Imports of goods and services (annual % growth)	1962	6.71441521828153
Imports of goods and services (constant 2005 US$)	1962	39808077001.7162
Imports of goods and services (constant LCU)	1962	33745416109.3581
Imports of goods and services (current LCU)	1962	6959644160.0
Imports of goods and services (current US$)	1962	9246854519.62353
Industry, value added (annual % growth)	1962	6.6370210256157005
Industry, value added (constant 2005 US$)	1962	119040604409.254
Industry, value added (constant LCU)	1962	102803299300.0
Industry, value added (current LCU)	1962	16930000000.0
Industry, value added (current US$)	1962	22493857935.5796
Inflation, consumer prices (annual %)	1962	5.24724942573668
Inflation, GDP deflator (annual %)	1962	4.6728419554811
Land area (sq. km)	1962	547566.0
Land under cereal production (hectares)	1962	9408120.0
Lending interest rate (%)	1962	3.5
Life expectancy at birth, female (years)	1962	73.9
